model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-mimic_ch,ignore_uncertain,Cardiomegaly,auprc_ap,0.14991451436767436,0.13627185352463467,0.16477263825534866,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Consolidation,auroc,0.5697225993290718,0.5522535393780112,0.5858899870795118,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Consolidation,auprc_ap,0.06383921202707196,0.05845024314988979,0.06966605632214846,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Edema,auroc,0.628763656993538,0.38666280504762146,0.8242062232363961,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Edema,auprc_ap,0.0013443557341352034,0.00035133631257524916,0.0028791913379287415,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pleural Effusion,auroc,0.7725434248487867,0.7520945134333705,0.7930923090560174,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pleural Effusion,auprc_ap,0.09161450701190847,0.07376920958266944,0.11337003622809592,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pneumonia,auroc,0.6941919949727721,0.664167988475498,0.722380420165302,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pneumonia,auprc_ap,0.03267648456737478,0.02298899213086456,0.04680085171421412,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pneumothorax,auroc,0.574317782703411,0.46017030987348484,0.6780876663750249,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Pneumothorax,auprc_ap,0.003316705920260267,0.0013467766778901046,0.0067753032590440335,500,common_labels
densenet121-res224-nih,ignore_uncertain,Atelectasis,auroc,0.6870254837103115,0.6719132422025924,0.7007724128557546,500,common_labels
densenet121-res224-nih,ignore_uncertain,Atelectasis,auprc_ap,0.11230439330126467,0.10312364324357441,0.12210607667730104,500,common_labels
densenet121-res224-nih,ignore_uncertain,Cardiomegaly,auroc,0.776293507934826,0.7618051421096282,0.7885046720062713,500,common_labels
densenet121-res224-nih,ignore_uncertain,Cardiomegaly,auprc_ap,0.17106654973930738,0.1582575343579218,0.18494311488852283,500,common_labels
densenet121-res224-nih,ignore_uncertain,Consolidation,auroc,0.5362758751139416,0.5162507975515085,0.5550092710704011,500,common_labels
densenet121-res224-nih,ignore_uncertain,Consolidation,auprc_ap,0.06378122138270434,0.057223137008016574,0.06960882696908523,500,common_labels
densenet121-res224-nih,ignore_uncertain,Edema,auroc,0.49649724587252003,0.30931460826586943,0.6812681644045462,500,common_labels
densenet121-res224-nih,ignore_uncertain,Edema,auprc_ap,0.0006430750337458111,0.00026161996299253347,0.001210688160013955,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pleural Effusion,auroc,0.7285186760539746,0.701859921717819,0.7522473877241904,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pleural Effusion,auprc_ap,0.0828837701807793,0.06388560275048343,0.10491579015835913,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pneumonia,auroc,0.6408035094738596,0.6062593596780445,0.6746921714830416,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pneumonia,auprc_ap,0.02196156948253585,0.017519404295188563,0.026962934695989333,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pneumothorax,auroc,0.7091191441820719,0.585280331936405,0.8000962190731143,500,common_labels
densenet121-res224-nih,ignore_uncertain,Pneumothorax,auprc_ap,0.00532470057464569,0.0020259526611518803,0.010790794107569956,500,common_labels
densenet121-res224-pc,ignore_uncertain,Atelectasis,auroc,0.7075912195977511,0.6949724721442108,0.7214338032531891,500,common_labels
densenet121-res224-pc,ignore_uncertain,Atelectasis,auprc_ap,0.138138221217522,0.12443980223602501,0.15247389811745984,500,common_labels
densenet121-res224-pc,ignore_uncertain,Cardiomegaly,auroc,0.8239599708410683,0.8127681530661083,0.8341518491776809,500,common_labels
densenet121-res224-pc,ignore_uncertain,Cardiomegaly,auprc_ap,0.23843333934839564,0.2177449526344058,0.25999375142271747,500,common_labels
densenet121-res224-pc,ignore_uncertain,Consolidation,auroc,0.666457346143023,0.6507105105180979,0.6816765428086635,500,common_labels
densenet121-res224-pc,ignore_uncertain,Consolidation,auprc_ap,0.11580528154342278,0.10161038817667167,0.13005689685651295,500,common_labels
densenet121-res224-pc,ignore_uncertain,Edema,auroc,0.7306872974822225,0.5576743904616039,0.8731301241486757,500,common_labels
densenet121-res224-pc,ignore_uncertain,Edema,auprc_ap,0.0021050710796143416,0.0005597014720484068,0.005607077844796879,500,common_labels
densenet121-res224-pc,ignore_uncertain,Pleural Effusion,auroc,0.7312934010434459,0.7082532279762318,0.754241577075161,500,common_labels
