policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
ignore_uncertain,densenet121-res224-nih,Children: 5–14 years,0.7092652723752884,6,0.09977438092622389,7,0.11610064430531544,0.16861148051541092,849
ignore_uncertain,densenet121-res224-nih,Infants and Toddlers: 0–4 years,0.5204758358816202,5,0.07435591710622226,7,0.12734310459949152,0.18439347522653726,1388
ignore_uncertain,densenet121-res224-nih,Open-ended: 85+,0.47734438700817666,7,0.06024152512579957,7,0.23536925502345027,0.40828235896262116,1174
ignore_uncertain,densenet121-res224-nih,Seniors: 65–84 years,0.5843958560642429,7,0.08009657128177716,7,0.16062279097644674,0.2732234845860126,4030
ignore_uncertain,densenet121-res224-nih,Young Adults: 15–24 years,0.703896054620223,6,0.05830381062745839,7,0.0558388811965473,0.1111551321457475,1004
ignore_uncertain,densenet121-res224-pc,Adults: 25–64 years,0.7143520635213437,8,0.06284677277369329,8,0.1009573122096055,0.20908223480561822,9979
ignore_uncertain,densenet121-res224-pc,Children: 5–14 years,0.6748766626367589,7,0.13186971590277338,8,0.15333281915473304,0.25619087378935823,849
ignore_uncertain,densenet121-res224-pc,Infants and Toddlers: 0–4 years,0.5381904793023714,6,0.08592820338760161,8,0.1901534506016313,0.32076821212499046,1388
ignore_uncertain,densenet121-res224-pc,Open-ended: 85+,0.5457534770731738,8,0.07898500090204981,8,0.25823130651846415,0.44226555879351703,1174
ignore_uncertain,densenet121-res224-pc,Seniors: 65–84 years,0.6407039531910298,8,0.09258561582262564,8,0.15951873234033742,0.27723668425760584,4030
ignore_uncertain,densenet121-res224-pc,Young Adults: 15–24 years,0.7814147993383189,7,0.10420460446401407,8,0.0856772665349915,0.18500574769106212,1004
ignore_uncertain,resnet50-res512-all,Adults: 25–64 years,0.6579257290398768,11,0.07830659304903749,11,0.06435652559781889,0.10347700703741568,9979
ignore_uncertain,resnet50-res512-all,Children: 5–14 years,0.6291821136907787,9,0.09991828225754498,11,0.10362040167257959,0.14307102884892922,849
ignore_uncertain,resnet50-res512-all,Infants and Toddlers: 0–4 years,0.5385262502783428,8,0.06707968260509738,11,0.11086506690900565,0.15505709670664303,1388
ignore_uncertain,resnet50-res512-all,Open-ended: 85+,0.5208586432533896,11,0.07814902089476264,11,0.09391232840015219,0.1516725619902952,1174
ignore_uncertain,resnet50-res512-all,Seniors: 65–84 years,0.634681548801026,11,0.10988235983988805,11,0.09052231835080242,0.12553330851071615,4030
ignore_uncertain,resnet50-res512-all,Young Adults: 15–24 years,0.6824039182983728,9,0.07467978040093763,11,0.06044483163326464,0.10389162385768048,1004
