model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit
densenet121-res224-pc,u0,Pneumothorax,auroc,0.7294580199564635,0.610087896820748,0.818211395983878,200,200,patient
densenet121-res224-pc,u0,Pneumothorax,auprc_ap,0.005869415564643679,0.002576401897009166,0.010756943615009075,200,200,patient
densenet121-res224-pc,u0,Pleural Effusion,auroc,0.7308109861489962,0.703028580636202,0.7539985879307975,200,200,patient
densenet121-res224-pc,u0,Pleural Effusion,auprc_ap,0.11136262390166245,0.07932671833647324,0.1439830245251955,200,200,patient
densenet121-res224-pc,u0,Fracture,auroc,0.5590523484421225,0.5255628017850655,0.5942899036634633,200,200,patient
densenet121-res224-pc,u0,Fracture,auprc_ap,0.0173114997220546,0.012939935103793685,0.02768321616866854,200,200,patient
resnet50-res512-all,u0,Enlarged Cardiomediastinum,auroc,0.5,0.5,0.5,200,200,patient
resnet50-res512-all,u0,Enlarged Cardiomediastinum,auprc_ap,0.0012798445508065948,0.0008163412329442678,0.0018469926977431007,200,200,patient
resnet50-res512-all,u0,Cardiomegaly,auroc,0.8493643072402236,0.8387280311155652,0.8588993313565733,200,200,patient
resnet50-res512-all,u0,Cardiomegaly,auprc_ap,0.30724404663375243,0.2795026947964301,0.33356593134079604,200,200,patient
resnet50-res512-all,u0,Lung Lesion,auroc,0.5,0.5,0.5,200,200,patient
resnet50-res512-all,u0,Lung Lesion,auprc_ap,0.029502408068346565,0.027038748886722745,0.031998170702143065,200,200,patient
resnet50-res512-all,u0,Lung Opacity,auroc,0.6329223549806658,0.6150641025126131,0.6478267598796151,200,200,patient
resnet50-res512-all,u0,Lung Opacity,auprc_ap,0.1152797460715182,0.10514506547585258,0.12598431190602655,200,200,patient
resnet50-res512-all,u0,Edema,auroc,0.6320945562485938,0.453081059027562,0.7864583112742893,200,200,patient
resnet50-res512-all,u0,Edema,auprc_ap,0.0010179851256190827,0.00035128817368375336,0.0020122653683170813,200,200,patient
resnet50-res512-all,u0,Consolidation,auroc,0.6967730614467671,0.6815667906058125,0.7106004811973906,200,200,patient
resnet50-res512-all,u0,Consolidation,auprc_ap,0.10497411543819575,0.09601153147183966,0.11464066265075257,200,200,patient
resnet50-res512-all,u0,Pneumonia,auroc,0.7387728399016428,0.7086938764910066,0.7656152866895363,200,200,patient
resnet50-res512-all,u0,Pneumonia,auprc_ap,0.03666094102539819,0.028065462213839314,0.0486334378564765,200,200,patient
resnet50-res512-all,u0,Atelectasis,auroc,0.7030800759548805,0.686751169354681,0.7155177684420624,200,200,patient
resnet50-res512-all,u0,Atelectasis,auprc_ap,0.12026997183217057,0.109272765992526,0.13285333659396686,200,200,patient
resnet50-res512-all,u0,Pneumothorax,auroc,0.68973299167514,0.5400807716287102,0.8003307190933805,200,200,patient
resnet50-res512-all,u0,Pneumothorax,auprc_ap,0.006592081981741993,0.0021807511501398726,0.014110561952397275,200,200,patient
resnet50-res512-all,u0,Pleural Effusion,auroc,0.8225616106635067,0.7996736258842321,0.84302274074881,200,200,patient
resnet50-res512-all,u0,Pleural Effusion,auprc_ap,0.18788608235314466,0.14753982062931592,0.22734002526408173,200,200,patient
resnet50-res512-all,u0,Fracture,auroc,0.6739134487910996,0.6277342317325417,0.7146094843106195,200,200,patient
resnet50-res512-all,u0,Fracture,auprc_ap,0.07777145095057174,0.047771159432358413,0.1093976333765233,200,200,patient
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,auroc,0.6538410521295597,0.5724503280647903,0.7313463921941453,200,200,patient
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,auprc_ap,0.026201389844275287,0.0014943870291506936,0.08075573254227546,200,200,patient
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auroc,0.8432790590932419,0.8323330628854043,0.8546520455889043,200,200,patient
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auprc_ap,0.283023598733149,0.2613241919365183,0.31016146010874385,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Lesion,auroc,0.43450212916976716,0.41139487594236174,0.45395783638318415,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Lesion,auprc_ap,0.024227406870753563,0.02178863667489768,0.026433565302267772,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Opacity,auroc,0.65977570281055,0.6460492968612871,0.673460264470058,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Opacity,auprc_ap,0.11199320537074677,0.1040264327791544,0.12242664248987625,200,200,patient
densenet121-res224-all,ignore_uncertain,Edema,auroc,0.7181605039534122,0.486982932225113,0.8608022802715363,200,200,patient
densenet121-res224-all,ignore_uncertain,Edema,auprc_ap,0.001589194197935349,0.0005416814675308233,0.0037480054418712765,200,200,patient
densenet121-res224-all,ignore_uncertain,Consolidation,auroc,0.6277026900599276,0.6102421370434359,0.6460460695449278,200,200,patient
densenet121-res224-all,ignore_uncertain,Consolidation,auprc_ap,0.0759526401746434,0.06936025267081761,0.08265511712943281,200,200,patient
