model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-pc,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.7072221137954834,0.137043843329287,0.17100008050863505,0.29940827334040926,False,True
densenet121-res224-pc,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7290669856459331,0.005304940169176529,0.15935869957394558,0.34713626398793634,False,True
densenet121-res224-pc,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7307376543013955,0.10934318805679061,0.12200335473549938,0.2021286123818981,False,True
densenet121-res224-pc,u0,Fracture,18424,239,18185,0.01297221016066001,0.5590664520738158,0.01605678717927396,0.13166246586716593,0.30306053999851823,False,False
resnet50-res512-all,u0,Enlarged Cardiomediastinum,18424,24,18400,0.0013026487190620929,,,,,True,False
resnet50-res512-all,u0,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.849599179756725,0.3064335434976733,0.06776237760849024,0.05428283726645929,False,True
resnet50-res512-all,u0,Lung Lesion,18424,543,17881,0.02947242726877985,,,,,True,False
resnet50-res512-all,u0,Lung Opacity,18424,1407,17017,0.07636778115501519,0.6335459139297092,0.11459493004216673,0.0936022680327909,0.09103960856492653,False,False
resnet50-res512-all,u0,Edema,18424,9,18415,0.0004884932696482848,0.6267535523576794,0.0008111531194295422,0.0008618152931452466,0.004876278895891337,False,True
resnet50-res512-all,u0,Consolidation,18424,1033,17391,0.056068171949630916,0.697288095571682,0.1042910814758668,0.05397157355565497,0.03920388177575489,False,True
resnet50-res512-all,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.7401334964804223,0.03542309407690504,0.023604774987745082,0.038937080849763946,False,True
resnet50-res512-all,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.7039613208952291,0.1200000794438108,0.06218125445483592,0.03058671828189752,False,True
resnet50-res512-all,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.6915115947150936,0.005421990578574595,0.0027874498409652814,0.01051602465325852,False,True
resnet50-res512-all,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.8229370639962056,0.18746681454995878,0.027534673391287432,0.019907292861856798,False,True
resnet50-res512-all,u0,Fracture,18424,239,18185,0.01297221016066001,0.6766586558649307,0.07830682348895356,0.01536136862995476,0.014986046633919885,False,False
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034523,0.6543267750058881,0.018327076159798242,0.0735419491624782,0.17173407941552954,False,False
densenet121-res224-all,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.8437198014495427,0.28212847848531325,0.08841358655445498,0.09017721090525825,False,True
densenet121-res224-all,ignore_uncertain,Lung Lesion,18416,543,17873,0.02948523023457863,0.4346256104689533,0.024053287091780375,0.03719142870023774,0.03767673950976782,False,False
densenet121-res224-all,ignore_uncertain,Lung Opacity,18417,1407,17010,0.07639680729760548,0.6601645756269463,0.11150243580330516,0.15204189515917105,0.1750993494883097,False,False
densenet121-res224-all,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.7140374694542493,0.0011756826471431827,0.030148906863704493,0.07439063682306032,False,True
densenet121-res224-all,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.6289778742473588,0.07578093605077438,0.10496086449826295,0.16547982058364089,False,True
densenet121-res224-all,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.6949674164100308,0.02224161274459012,0.060171057299879045,0.10169859785973838,False,True
