policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
u0,densenet121-res224-mimic_nb,Adults: 25–64 years,0.6312605246005668,11,0.042537981413243144,11,0.17518083892957656,0.31834601121820955,9979
u0,densenet121-res224-mimic_nb,Children: 5–14 years,0.7105516040008628,9,0.1103184831505473,11,0.2499461718434323,0.3943188349660881,849
u0,densenet121-res224-mimic_nb,Infants and Toddlers: 0–4 years,0.5544873939957822,8,0.06399285078141081,11,0.3766798236938508,0.5092324757019486,1388
u0,densenet121-res224-mimic_nb,Open-ended: 85+,0.5560499680066527,11,0.046521903290965595,11,0.3254331523461054,0.49922252213726886,1174
u0,densenet121-res224-mimic_nb,Seniors: 65–84 years,0.6391949622615456,11,0.07410925462906998,11,0.2552275667457134,0.410839473424571,4030
u0,densenet121-res224-mimic_nb,Young Adults: 15–24 years,0.6323736832106511,9,0.0675984821526232,11,0.1301467548657188,0.24992142589852442,1004
u0,densenet121-res224-nih,Adults: 25–64 years,0.6526744719237102,7,0.052187328456829586,7,0.07993226364298743,0.15642809657196446,9979
u0,densenet121-res224-nih,Children: 5–14 years,0.7092652723752884,6,0.09977438092622389,7,0.11610064430531544,0.16861148051541092,849
u0,densenet121-res224-nih,Infants and Toddlers: 0–4 years,0.5204758358816202,5,0.07435591710622226,7,0.12734310459949152,0.18439347522653726,1388
u0,densenet121-res224-nih,Open-ended: 85+,0.47734438700817666,7,0.06024152512579957,7,0.23536925502345027,0.40828235896262116,1174
u0,densenet121-res224-nih,Seniors: 65–84 years,0.5843958560642429,7,0.08009657128177716,7,0.16062279097644674,0.2732234845860126,4030
u0,densenet121-res224-nih,Young Adults: 15–24 years,0.703896054620223,6,0.05830381062745839,7,0.0558388811965473,0.1111551321457475,1004
u0,densenet121-res224-pc,Adults: 25–64 years,0.7143520635213437,8,0.06284677277369329,8,0.1009573122096055,0.20908223480561822,9979
u0,densenet121-res224-pc,Children: 5–14 years,0.6748766626367589,7,0.13186971590277338,8,0.15333281915473304,0.25619087378935823,849
u0,densenet121-res224-pc,Infants and Toddlers: 0–4 years,0.5381904793023714,6,0.08592820338760161,8,0.1901534506016313,0.32076821212499046,1388
u0,densenet121-res224-pc,Open-ended: 85+,0.5457534770731738,8,0.07898500090204981,8,0.25823130651846415,0.44226555879351703,1174
u0,densenet121-res224-pc,Seniors: 65–84 years,0.6407039531910298,8,0.09258561582262564,8,0.15951873234033742,0.27723668425760584,4030
u0,densenet121-res224-pc,Young Adults: 15–24 years,0.7814147993383189,7,0.10420460446401407,8,0.0856772665349915,0.18500574769106212,1004
u0,resnet50-res512-all,Adults: 25–64 years,0.6579336686512857,11,0.07830434018153497,11,0.06435401328869443,0.1034760111847528,9979
u0,resnet50-res512-all,Children: 5–14 years,0.6291821136907787,9,0.09991828225754498,11,0.10362040167257959,0.14307102884892922,849
u0,resnet50-res512-all,Infants and Toddlers: 0–4 years,0.5385262502783428,8,0.06707968260509738,11,0.11086506690900565,0.15505709670664303,1388
u0,resnet50-res512-all,Open-ended: 85+,0.5208586432533896,11,0.07814770059908506,11,0.09391232840015219,0.15167388228597276,1174
u0,resnet50-res512-all,Seniors: 65–84 years,0.6346852716073467,11,0.10987688621211088,11,0.09051694249884314,0.12552901261992278,4030
u0,resnet50-res512-all,Young Adults: 15–24 years,0.6824039182983728,9,0.07467978040093763,11,0.06044483163326464,0.10389162385768048,1004
